MAC;IMU;TIME;INDEX;QUATERNION_0;QUATERNION_1;QUATERNION_2;QUATERNION_3;ACCEL_ADXL355_0;ACCEL_ADXL355_1;ACCEL_ADXL355_2;ACCEL_BMI160_0;ACCEL_BMI160_1;ACCEL_BMI160_2;GYRO_0;GYRO_1;GYRO_2;GYRO_ECC_0;GYRO_ECC_1;GYRO_ECC_2
18:04:ED:C4:75:1A;imu9;1655928838914043;80;0.000000;0.000000;0.000000;0.000000;-0.021875;10.160000;0.278125;-0.236250;10.276875;0.205625;0.000000;0.001065;-0.002131;0;0;0
18:04:ED:C4:75:1A;imu9;1655928838921527;81;0.000000;0.000000;0.000000;0.000000;-0.095000;10.147500;0.253125;-0.260625;10.265000;0.183125;0.000000;0.000000;-0.001065;0;0;0
18:04:ED:C4:75:1A;imu9;1655928838929001;82;0.000000;0.000000;0.000000;0.000000;-0.046875;10.162500;0.256250;-0.269375;10.283125;0.190625;0.001065;0.000000;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928838944001;83;0.000000;0.000000;0.000000;0.000000;0.004375;10.182500;0.273750;-0.241250;10.283750;0.241875;0.001065;0.001065;-0.002131;0;0;0
18:04:ED:C4:75:1A;imu9;1655928838951519;84;0.000000;0.000000;0.000000;0.000000;-0.056250;10.165000;0.251875;-0.235625;10.278125;0.226875;-0.001065;0.001065;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928838959058;85;0.000000;0.000000;0.000000;0.000000;-0.078125;10.161875;0.243750;-0.263750;10.281250;0.198125;0.000000;0.000000;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928838974112;86;0.000000;0.000000;0.000000;0.000000;-0.025000;10.153125;0.259375;-0.239375;10.260625;0.226875;0.000000;0.000000;-0.001065;0;0;0
18:04:ED:C4:75:1A;imu9;1655928838981536;87;0.000000;0.000000;0.000000;0.000000;-0.033125;10.163125;0.255000;-0.224375;10.261875;0.203750;0.000000;0.000000;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928838989038;88;0.000000;0.000000;0.000000;0.000000;-0.066875;10.166875;0.288125;-0.253125;10.281875;0.211875;-0.001065;0.000000;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839004076;89;0.000000;0.000000;0.000000;0.000000;-0.056875;10.160000;0.271875;-0.268750;10.266250;0.210625;0.000000;0.000000;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839011543;90;0.000000;0.000000;0.000000;0.000000;-0.055000;10.169375;0.252500;-0.246250;10.265625;0.193125;0.000000;0.001065;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839019053;91;0.000000;0.000000;0.000000;0.000000;-0.045625;10.162500;0.248125;-0.230625;10.270000;0.205625;0.000000;0.000000;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839033986;92;0.000000;0.000000;0.000000;0.000000;-0.033750;10.161875;0.261875;-0.252500;10.284375;0.208750;0.000000;-0.001065;-0.001065;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839041468;93;0.000000;0.000000;0.000000;0.000000;-0.043750;10.162500;0.270625;-0.240625;10.266875;0.187500;0.000000;0.001065;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839049028;94;0.000000;0.000000;0.000000;0.000000;-0.071250;10.153125;0.265000;-0.258750;10.269375;0.195625;-0.001065;0.001065;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839064040;95;0.000000;0.000000;0.000000;0.000000;-0.040625;10.155000;0.265000;-0.256875;10.270000;0.219375;0.001065;0.000000;-0.001065;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839071612;96;0.000000;0.000000;0.000000;0.000000;-0.020625;10.155000;0.256875;-0.247500;10.276250;0.211250;0.000000;-0.001065;-0.001065;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839079040;97;0.000000;0.000000;0.000000;0.000000;-0.054375;10.154375;0.276875;-0.255000;10.267500;0.190625;0.000000;0.001065;-0.001065;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839094003;98;0.000000;0.000000;0.000000;0.000000;-0.065625;10.158750;0.269375;-0.263125;10.286250;0.202500;0.000000;0.001065;0.001065;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839101511;99;0.000000;0.000000;0.000000;0.000000;-0.052500;10.166250;0.248125;-0.235000;10.289375;0.211875;-0.001065;0.001065;-0.001065;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839109023;100;0.000000;0.000000;0.000000;0.000000;-0.021250;10.171875;0.256250;-0.246875;10.267500;0.218125;0.001065;0.001065;-0.001065;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839123955;101;0.000000;0.000000;0.000000;0.000000;-0.044375;10.167500;0.274375;-0.257500;10.258125;0.235000;0.002131;0.001065;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839131547;102;0.000000;0.000000;0.000000;0.000000;-0.065000;10.163750;0.265625;-0.271875;10.269375;0.205000;0.001065;0.001065;-0.001065;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839139025;103;0.000000;0.000000;0.000000;0.000000;-0.055625;10.161875;0.273125;-0.264375;10.280000;0.191875;0.001065;0.001065;-0.001065;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839153990;104;0.000000;0.000000;0.000000;0.000000;-0.031250;10.171250;0.254375;-0.246875;10.261875;0.217500;0.001065;0.002131;-0.001065;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839161573;105;0.000000;0.000000;0.000000;0.000000;-0.036250;10.149375;0.273125;-0.254375;10.273750;0.210625;-0.001065;0.001065;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839169031;106;0.000000;0.000000;0.000000;0.000000;-0.058750;10.155625;0.249375;-0.248750;10.256875;0.198125;0.000000;0.000000;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839184195;107;0.000000;0.000000;0.000000;0.000000;-0.066875;10.164375;0.258125;-0.233750;10.271250;0.222500;0.002131;0.000000;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839191528;108;0.000000;0.000000;0.000000;0.000000;-0.026250;10.160000;0.251250;-0.247500;10.279375;0.211875;-0.001065;0.001065;0.000000;0;0;0
18:04:ED:C4:75:1A;imu9;1655928839199039;109;0.000000;0.000000;0.000000;0.000000;-0.021250;10.151250;0.260000;-0.232500;10.261250;0.184375;-0.001065;0.001065;-0.001065;0;0;0
